"feature","usage","splits"
"dst_bytes",100,13.5802469135802
"dst_host_same_src_port_rate",59.65,9.87654320987654
"protocol_type",53.69,8.64197530864197
"service",52.33,4.93827160493827
"srv_diff_host_rate",48.32,4.93827160493827
"is_guest_login",47.67,4.93827160493827
"flag",44.14,4.93827160493827
"dst_host_rerror_rate",42.38,4.93827160493827
"diff_srv_rate",41.83,4.93827160493827
"dst_host_serror_rate",41.79,3.7037037037037
"count",40.24,3.7037037037037
"srv_count",39.92,3.7037037037037
"dst_host_srv_diff_host_rate",39.28,3.7037037037037
"srv_rerror_rate",39.18,2.46913580246914
"root_shell",38.82,2.46913580246914
"serror_rate",38.31,2.46913580246914
"duration",37.69,2.46913580246914
"dst_host_srv_count",35.87,2.46913580246914
"rerror_rate",35.75,1.23456790123457
"dst_host_diff_srv_rate",5.42,1.23456790123457
"dst_host_count",3.45,1.23456790123457
"dst_host_same_srv_rate",1.81,1.23456790123457
"dst_host_srv_rerror_rate",1.62,1.23456790123457
"dst_host_srv_serror_rate",1.19,1.23456790123457
"srv_serror_rate",0.2,1.23456790123457
"logged_in",0.2,1.23456790123457
"same_srv_rate",0.08,1.23456790123457
"src_bytes",0,0
"land",0,0
"wrong_fragment",0,0
"urgent",0,0
"hot",0,0
"num_failed_logins",0,0
"num_compromised",0,0
"su_attempted",0,0
"num_root",0,0
"num_file_creations",0,0
"num_shells",0,0
"num_access_files",0,0
"num_outbound_cmds",0,0
"is_host_login",0,0
